2018-11-29 10:23:43,263 [Worker-67] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /lavaFAQ/src/main/java overlaps with sources folder /lavaFAQ/src/main/java
2018-11-29 10:23:43,263 [Worker-67] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /lavaFAQ/src/main/resources
2018-11-29 10:23:43,263 [Worker-67] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /lavaFAQ/src/test/java
2018-11-29 10:23:44,174 [Worker-67] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for lavaFAQ
2018-11-29 10:23:44,189 [Worker-67] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2018-11-29 10:23:44,408 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:23:44,408 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:23:51,995 [Worker-71] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lava:lavaFAQ:0.0.1-SNAPSHOT @ E:\MyEclipseWorkSpace\bishe\lavaFAQ\pom.xml.
2018-11-29 10:23:52,322 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:23:52,322 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:23:52,556 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:23:52,556 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:23:52,823 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 10:23:52,823 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-29 10:23:52,823 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-11-29 10:23:52,838 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 10:23:52,838 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\MyEclipseWorkSpace\bishe\lavaFAQ\src\test\resources
2018-11-29 10:23:53,041 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-29 10:23:53,041 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-29 10:24:41,000 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 10:24:41,000 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-29 10:24:41,031 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-11-29 10:24:41,031 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 10:24:41,031 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\MyEclipseWorkSpace\bishe\lavaFAQ\src\test\resources
2018-11-29 10:24:41,031 [Worker-72] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of lavaFAQ
